,Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA,WMA,MOM,SlowK,SlowD,MACD,MACD_Hist,MACD_Signal,ADOSC,CCI
0,2019-09-06,45.439999,45.928001,45.034,45.490002000000004,45.490002000000004,20947000,51.0534,221.4480,222.2103,11.8100,64.2435,62.3854,-2.0327,1.3921,-3.4249,-1125488.4025,93.0781
1,2019-09-09,46.0,46.751999,45.846001,46.358002,46.358002,24013500,54.1336,222.2380,223.5031,11.8500,75.3520,68.8687,-1.2312,1.7550,-2.9861,-394498.9435,133.0383
2,2019-09-10,46.16,47.108002,45.787997999999995,47.108002,47.108002,24418500,56.6586,222.8187,225.1658,8.7100,87.6760,78.2723,-0.2900,2.1569,-2.4469,1494310.2845,135.7964
3,2019-09-11,47.476002,49.633998999999996,47.200001,49.419998,49.419998,50214000,63.3268,224.2347,228.2010,21.2400,91.8797,85.0760,1.3729,3.0558,-1.6829,4764702.2709,206.7663
4,2019-09-12,49.540001000000004,50.700001,48.880001,49.174,49.174,42906000,62.2352,225.9040,230.9054,25.0400,82.4736,83.7748,2.5619,3.3959,-0.8340,3821176.6882,193.0823
5,2019-09-13,49.391998,49.689999,48.973999,49.040001000000004,49.040001000000004,26565500,61.6154,227.4407,233.3174,23.0500,74.3394,79.0571,3.4109,3.3959,0.0150,1708939.7233,142.9650
6,2019-09-16,49.200001,49.486,48.234001,48.562,48.562,23640500,59.3560,229.5347,235.2386,31.4100,65.4067,72.2319,3.8465,3.0652,0.7813,-26665.2865,102.6656
7,2019-09-17,48.493999,49.119999,48.074001,48.958,48.958,19327000,60.6372,231.5207,237.1455,29.7900,57.8176,65.0247,4.3019,2.8165,1.4854,114675.3105,86.6126
8,2019-09-18,49.0,49.633998999999996,48.473999,48.698002,48.698002,20851000,59.3217,233.4813,238.6417,29.4100,40.7900,52.9074,4.5059,2.4164,2.0895,-652359.4735,81.1036
9,2019-09-19,49.200001,49.588001,48.967999,49.32,49.32,23979000,61.4645,235.5487,240.2815,31.0100,58.9470,55.9272,4.8626,2.2184,2.6441,-700101.2585,80.7258
10,2019-09-20,49.298,49.389998999999996,47.632,48.124001,48.124001,31765000,55.4472,236.8093,240.9154,18.9100,41.7612,48.8442,4.6095,1.5723,3.0372,-1545958.3404,39.7443
