,Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA,WMA,MOM,SlowK,SlowD,MACD_Signal,MACD_Hist,MACD,ADOSC,CCI
0,2019-09-03,44.209998999999996,44.919998,43.5,43.619999,43.619999,1495062,51.3781,43.2747,43.3980,-0.1400,50.6068,47.0128,0.0965,-0.0105,0.0860,-1966356.7488,77.9604
1,2019-09-04,44.009997999999996,44.400002,43.32,43.57,43.57,945001,51.1071,43.2793,43.4349,0.0700,44.6343,45.8235,0.0941,-0.0097,0.0844,-1955520.5123,45.3136
2,2019-09-05,43.970001,44.880001,43.490002000000004,44.09,44.09,1123628,53.8208,43.3973,43.5362,1.7700,48.8731,47.3483,0.1000,0.0237,0.1237,-1822182.2814,82.8712
3,2019-09-06,44.029999,44.860001000000004,43.82,44.560001,44.560001,844475,56.1764,43.5773,43.6816,2.7000,57.0682,52.2082,0.1181,0.0724,0.1905,-1488302.5617,104.0462
4,2019-09-09,44.450001,44.450001,43.880001,44.0,44.0,1469306,52.7420,43.6053,43.7344,0.4200,49.7841,50.9962,0.1337,0.0624,0.1961,-1487076.8023,55.9741
5,2019-09-10,44.0,44.040001000000004,41.900002,42.380001,42.380001,1786745,44.3399,43.5193,43.5812,-1.2900,32.9457,41.9709,0.1208,-0.0518,0.0690,-1664863.9064,-109.6657
6,2019-09-11,42.490002000000004,42.759997999999996,42.299999,42.700001,42.700001,1544801,46.1553,43.4853,43.4788,-0.5100,29.8957,35.9333,0.0954,-0.1013,-0.0059,-1222940.7283,-114.7352
7,2019-09-12,42.830002,43.549999,42.57,42.91,42.91,1272646,47.3624,43.3987,43.4069,-1.3000,32.0087,33.9710,0.0668,-0.1145,-0.0477,-1054936.5697,-57.7131
8,2019-09-13,43.060001,43.330002,42.93,43.130001,43.130001,1068051,48.6545,43.3473,43.3733,-0.7700,40.1220,37.0465,0.0410,-0.1034,-0.0624,-890304.2712,-38.2927
9,2019-09-16,42.279999,42.5,41.400002,41.810001,41.810001,1645841,42.0233,43.2613,43.1812,-1.2900,27.8261,32.4363,-0.0029,-0.1756,-0.1785,-875317.4616,-145.4764
10,2019-09-17,41.650002,44.369999,41.650002,44.009997999999996,44.009997999999996,1990120,53.3716,43.3653,43.2747,1.5600,57.8525,45.1444,-0.0207,-0.0712,-0.0919,-324009.2382,-4.8430
11,2019-09-18,44.450001,44.450001,42.849998,43.400002,43.400002,1093152,50.4386,43.4113,43.2791,0.6900,61.7131,53.4288,-0.0309,-0.0408,-0.0717,-177712.7615,14.0939
12,2019-09-19,43.450001,43.740002000000004,42.889998999999996,43.029999,43.029999,955531,48.6994,43.4340,43.2314,0.3400,57.5779,55.5033,-0.0416,-0.0429,-0.0845,-305589.1759,-28.4135
13,2019-09-20,42.990002000000004,43.380001,42.240002000000004,42.75,42.75,1558677,47.3748,43.3807,43.1459,-0.8000,50.9201,53.2117,-0.0565,-0.0595,-0.1160,-382325.9132,-68.4036
14,2019-09-23,42.66,43.330002,42.450001,43.040001000000004,43.040001000000004,601371,48.9166,43.2667,43.1033,-1.7100,50.2815,51.7466,-0.0684,-0.0477,-0.1162,-313729.9551,-44.9813
